code,interlevel,location,original,
12805001,Bgy,Aglipay,TRUE,
12805001,Bgy,Aglipay (Pob.),FALSE,
12805002,Bgy,Baay,TRUE,
12805003,Bgy,Baligat,TRUE,
12805004,Bgy,Bungon,TRUE,
12805005,Bgy,Baoa East,TRUE,
12805006,Bgy,Baoa West,TRUE,
12805007,Bgy,Barani,TRUE,
12805007,Bgy,Barani (Pob.),FALSE,
12805009,Bgy,Ben-agan,TRUE,
12805009,Bgy,Ben-agan (Pob.),FALSE,
12805010,Bgy,Bil-loca,TRUE,
12805011,Bgy,Biningan,TRUE,
12805012,Bgy,Callaguip (Pob.),FALSE,
12805012,Bgy,Callaguip,TRUE,
12805013,Bgy,Camandingan,TRUE,
12805014,Bgy,Camguidan,TRUE,
12805015,Bgy,Cangrunaan,TRUE,
12805015,Bgy,Cangrunaan (Pob.),FALSE,
12805016,Bgy,Capacuan,TRUE,
12805017,Bgy,Caunayan,TRUE,
12805017,Bgy,Caunayan (Pob.),FALSE,
12805018,Bgy,Valdez Pob.,TRUE,
12805018,Bgy,Caoayan,TRUE,
12805018,Bgy,Valdez Pob. (Caoayan),TRUE,
12805019,Bgy,Colo,TRUE,
12805020,Bgy,Pimentel,TRUE,
12805020,Bgy,Pimentel (Cubol),TRUE,
12805020,Bgy,Cubol,TRUE,
12805021,Bgy,Dariwdiw,TRUE,
12805022,Bgy,Acosta Pob. (Iloilo),TRUE,
12805022,Bgy,Iloilo,TRUE,
12805022,Bgy,Acosta Pob.,TRUE,
12805023,Bgy,Ablan Pob. (Labucao),TRUE,
12805023,Bgy,Labucao,TRUE,
12805023,Bgy,Ablan Pob.,TRUE,
12805024,Bgy,Lacub (Pob.),FALSE,
12805024,Bgy,Lacub,TRUE,
12805025,Bgy,Mabaleng,TRUE,
12805026,Bgy,Magnuang,TRUE,
12805027,Bgy,Maipalig,TRUE,
12805028,Bgy,Nagbacalan,TRUE,
12805029,Bgy,Naguirangan,TRUE,
12805030,Bgy,Ricarte Pob. (Nalasin),TRUE,
12805030,Bgy,Nalasin,TRUE,
12805030,Bgy,Ricarte Pob.,TRUE,
12805031,Bgy,Palongpong,TRUE,
12805032,Bgy,Palpalicong,TRUE,
12805032,Bgy,Palpalicong (Pob.),FALSE,
12805033,Bgy,Parangopong,TRUE,
12805034,Bgy,Payao,TRUE,
12805035,Bgy,Quiling Norte,TRUE,
12805036,Bgy,Quiling Sur,TRUE,
12805037,Bgy,Quiom,TRUE,
12805038,Bgy,Rayuray,TRUE,
12805039,Bgy,San Julian,TRUE,
12805039,Bgy,San Julian (Pob.),FALSE,
12805040,Bgy,San Mateo,TRUE,
12805041,Bgy,San Pedro,TRUE,
12805042,Bgy,Suabit,TRUE,
12805042,Bgy,Suabit (Pob.),FALSE,
12805043,Bgy,Sumader,TRUE,
12805044,Bgy,Tabug,TRUE,
12806000,Mun,BURGOS,TRUE,
12806001,Bgy,Ablan Sarat,TRUE,
12806002,Bgy,Agaga,TRUE,
12806005,Bgy,Bayog,TRUE,
12806006,Bgy,Bobon,TRUE,
12806007,Bgy,Buduan,TRUE,
12806007,Bgy,Malituek,TRUE,
12806007,Bgy,Buduan (Malituek),TRUE,
12806008,Bgy,Nagsurot,TRUE,
12806009,Bgy,Paayas,TRUE,
12806010,Bgy,Pagali,TRUE,
12806011,Bgy,Poblacion,TRUE,
12806013,Bgy,Saoit,TRUE,
12806014,Bgy,Tanap,TRUE,
12807000,Mun,CARASI,TRUE,
12807001,Bgy,Angset,TRUE,
12807003,Bgy,Barbaqueso (Pob.),FALSE,
12807003,Bgy,Barbaqueso,TRUE,
12807004,Bgy,Virbira,TRUE,
12808000,Mun,CURRIMAO,TRUE,
12808001,Bgy,Anggapang Norte,TRUE,
12808002,Bgy,Anggapang Sur,TRUE,
12808003,Bgy,Bimmanga,TRUE,
12808004,Bgy,Cabuusan,TRUE,
12808005,Bgy,Comcomloong,TRUE,
12808006,Bgy,Gaang,TRUE,
12808007,Bgy,Lang-ayan-Baramban,TRUE,
12808008,Bgy,Lioes,TRUE,
12808009,Bgy,Maglaoi Centro,TRUE,
12808010,Bgy,Maglaoi Norte,TRUE,
12808011,Bgy,Maglaoi Sur,TRUE,
12808013,Bgy,Paguludan-Salindeg,TRUE,
12808014,Bgy,Pangil,TRUE,
12808015,Bgy,Pias Norte,TRUE,
12808016,Bgy,Pias Sur,TRUE,
12808017,Bgy,Poblacion I,TRUE,
12808017,Bgy,Poblacion 1,FALSE,
12808018,Bgy,Poblacion II,TRUE,
12808018,Bgy,Poblacion 2,FALSE,
12808019,Bgy,Salugan,TRUE,
12808020,Bgy,San Simeon,TRUE,
12808021,Bgy,Santa Cruz,TRUE,
12808022,Bgy,Tapao-Tigue,TRUE,
12808023,Bgy,Torre,TRUE,
12808024,Bgy,Victoria,TRUE,
12809000,Mun,DINGRAS,TRUE,
12809001,Bgy,Albano (Pob.),FALSE,
12809001,Bgy,Albano,TRUE,
12809002,Bgy,Bacsil,TRUE,
12809003,Bgy,Bagut,TRUE,
12809004,Bgy,Parado,TRUE,
12809004,Bgy,Bangay,TRUE,
12809004,Bgy,Parado (Bangay),TRUE,
